wl(nm)	eTn	eTp	eRn	eRp	eR1	eAPDS	eDEL_1	ePSI_1	eDEL_2	ePSI_2	eDEL_3	ePSI_3	eDEL_4	ePSI_4
300	0.0000000	0.0000000	0.0000000	0.0000000	0.0010752	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	
301.326	0.0000000	0.0000000	0.0000000	0.0000000	0.0010760	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	
302.663	0.0000000	0.0000000	0.0000000	0.0000000	0.0010736	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	
304.013	0.0000000	0.0000000	0.0000000	0.0000000	0.0010694	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	
305.375	0.0000000	0.0000000	0.0000000	0.0000000	0.0010636	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	
306.748	0.0000000	0.0000000	0.0000000	0.0000000	0.0010543	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	
308.135	0.0000000	0.0000000	0.0000000	0.0000000	0.0010416	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	
309.534	0.0000000	0.0000000	0.0000000	0.0000000	0.0010244	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	
310.945	0.0000000	0.0000000	0.0000000	0.0000000	0.0010040	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	
312.37	0.0000000	0.0000000	0.0000000	0.0000000	0.0009826	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	
313.808	0.0000000	0.0000000	0.0000000	0.0000000	0.0009713	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	
315.259	0.0000000	0.0000000	0.0000000	0.0000000	0.0009870	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	
316.723	0.0000000	0.0000000	0.0000000	0.0000000	0.0010515	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	
318.201	0.0000000	0.0000000	0.0000000	0.0000000	0.0011934	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	
319.693	0.0000000	0.0000000	0.0000000	0.0000000	0.0014409	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	
321.199	0.0000000	0.0000000	0.0000000	0.0000000	0.0017862	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	
322.719	0.0000000	0.0000000	0.0000000	0.0000000	0.0021985	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	
324.254	0.0000000	0.0000000	0.0000000	0.0000000	0.0026502	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	
325.804	0.0000000	0.0000000	0.0000000	0.0000000	0.0030903	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	
327.368	0.0000000	0.0000000	0.0000000	0.0000000	0.0035247	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	
328.947	0.0000000	0.0000000	0.0000000	0.0000000	0.0039339	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	
