wl(nm)	Tn	Tp	Rn	Rp	R1	APDS	DEL_1	PSI_1	DEL_2	PSI_2	DEL_3	PSI_3	DEL_4	PSI_4
300	0.0000000	0.0000000	0.0000000	0.0000000	0.0756775	0.8814053	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	
301.326	0.0000000	0.0000000	0.0000000	0.0000000	0.0758872	0.8798926	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	
302.663	0.0000000	0.0000000	0.0000000	0.0000000	0.0756390	0.8779574	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	
304.013	0.0000000	0.0000000	0.0000000	0.0000000	0.0751566	0.8757408	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	
305.375	0.0000000	0.0000000	0.0000000	0.0000000	0.0744269	0.8740429	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	
306.748	0.0000000	0.0000000	0.0000000	0.0000000	0.0732286	0.8723330	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	
308.135	0.0000000	0.0000000	0.0000000	0.0000000	0.0715412	0.8709600	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	
309.534	0.0000000	0.0000000	0.0000000	0.0000000	0.0692412	0.8696642	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	
310.945	0.0000000	0.0000000	0.0000000	0.0000000	0.0664833	0.8673956	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	
312.37	0.0000000	0.0000000	0.0000000	0.0000000	0.0635830	0.8647498	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	
313.808	0.0000000	0.0000000	0.0000000	0.0000000	0.0620927	0.8638126	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	
315.259	0.0000000	0.0000000	0.0000000	0.0000000	0.0643539	0.8616370	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	
316.723	0.0000000	0.0000000	0.0000000	0.0000000	0.0733816	0.8599654	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	
318.201	0.0000000	0.0000000	0.0000000	0.0000000	0.0931513	0.8583506	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	
319.693	0.0000000	0.0000000	0.0000000	0.0000000	0.1276038	0.8554387	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	
321.199	0.0000000	0.0000000	0.0000000	0.0000000	0.1756267	0.8546710	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	
322.719	0.0000000	0.0000000	0.0000000	0.0000000	0.2329516	0.8506088	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	
324.254	0.0000000	0.0000000	0.0000000	0.0000000	0.2957488	0.8475680	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	
325.804	0.0000000	0.0000000	0.0000000	0.0000000	0.3569404	0.8470111	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	
327.368	0.0000000	0.0000000	0.0000000	0.0000000	0.4173410	0.8460749	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	
328.947	0.0000000	0.0000000	0.0000000	0.0000000	0.4742316	0.8450480	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	
330.542	0.0000000	0.0000000	0.0000000	0.0000000	0.5226863	0.8422861	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	
332.152	0.0000000	0.0000000	0.0000000	0.0000000	0.5653410	0.8409457	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	
333.778	0.0000000	0.0000000	0.0000000	0.0000000	0.5998664	0.8372249	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	
335.42	0.0000000	0.0000000	0.0000000	0.0000000	0.6312556	0.8378811	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	
337.079	0.0000000	0.0000000	0.0000000	0.0000000	0.6570697	0.8372097	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	
338.753	0.0000000	0.0000000	0.0000000	0.0000000	0.6799388	0.8360697	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	
340.445	0.0000000	0.0000000	0.0000000	0.0000000	0.7000515	0.8354585	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	
342.153	0.0000000	0.0000000	0.0000000	0.0000000	0.7191195	0.8354637	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	
343.879	0.0000000	0.0000000	0.0000000	0.0000000	0.7366754	0.8355515	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	
345.622	0.0000000	0.0000000	0.0000000	0.0000000	0.7514758	0.8354092	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	
347.383	0.0000000	0.0000000	0.0000000	0.0000000	0.7650488	0.8351697	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	
349.162	0.0000000	0.0000000	0.0000000	0.0000000	0.7762204	0.8348949	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	
350.959	0.0000000	0.0000000	0.0000000	0.0000000	0.7868791	0.8353168	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	
352.775	0.0000000	0.0000000	0.0000000	0.0000000	0.7970367	0.8358706	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	
354.61	0.0000000	0.0000000	0.0000000	0.0000000	0.8062378	0.8366064	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	
356.464	0.0000000	0.0000000	0.0000000	0.0000000	0.8133444	0.8381325	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	
358.337	0.0000000	0.0000000	0.0000000	0.0000000	0.8215166	0.8410724	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	
360.231	0.0000000	0.0000000	0.0000000	0.0000000	0.8283541	0.8432506	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	
362.144	0.0000000	0.0000000	0.0000000	0.0000000	0.8328512	0.8435850	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	
364.078	0.0000000	0.0000000	0.0000000	0.0000000	0.8379082	0.8443551	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	
366.032	0.0000000	0.0000000	0.0000000	0.0000000	0.8441095	0.8477400	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	
368.008	0.0000000	0.0000000	0.0000000	0.0000000	0.8478611	0.8488919	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	
370.005	0.0000000	0.0000000	0.0000000	0.0000000	0.8517002	0.8509280	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	
372.024	0.0000000	0.0000000	0.0000000	0.0000000	0.8567667	0.8531031	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	
374.065	0.0000000	0.0000000	0.0000000	0.0000000	0.8606050	0.8554763	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	
376.128	0.0000000	0.0000000	0.0000000	0.0000000	0.8648125	0.8570558	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	
378.215	0.0000000	0.0000000	0.0000000	0.0000000	0.8678855	0.8590726	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	
380.325	0.0000000	0.0000000	0.0000000	0.0000000	0.8730635	0.8613963	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	
382.458	0.0000000	0.0000000	0.0000000	0.0000000	0.8777089	0.8637757	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	
384.615	0.0000000	0.0000000	0.0000000	0.0000000	0.8818385	0.8658449	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	
386.797	0.0000000	0.0000000	0.0000000	0.0000000	0.8863402	0.8686111	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	
389.004	0.0000000	0.0000000	0.0000000	0.0000000	0.8903830	0.8707533	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	
391.236	0.0000000	0.0000000	0.0000000	0.0000000	0.8943475	0.8732254	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	
393.494	0.0000000	0.0000000	0.0000000	0.0000000	0.8972492	0.8743938	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	
395.778	0.0000000	0.0000000	0.0000000	0.0000000	0.9003054	0.8767410	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	
398.089	0.0000000	0.0000000	0.0000000	0.0000000	0.9035960	0.8789078	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	
400.427	0.0000000	0.0000000	0.0000000	0.0000000	0.9059962	0.8804584	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	
402.793	0.0000000	0.0000000	0.0000000	0.0000000	0.9086371	0.8825537	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	
405.186	0.0000000	0.0000000	0.0000000	0.0000000	0.9111959	0.8843843	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	
407.609	0.0000000	0.0000000	0.0000000	0.0000000	0.9133876	0.8864887	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	
410.06	0.0000000	0.0000000	0.0000000	0.0000000	0.9154407	0.8881436	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	
412.541	0.0000000	0.0000000	0.0000000	0.0000000	0.9181787	0.8901706	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	
415.053	0.0000000	0.0000000	0.0000000	0.0000000	0.9194156	0.8916533	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	
417.595	0.0000000	0.0000000	0.0000000	0.0000000	0.9214874	0.8934751	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	
420.168	0.0000000	0.0000000	0.0000000	0.0000000	0.9227888	0.8951330	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	
422.773	0.0000000	0.0000000	0.0000000	0.0000000	0.9252208	0.8966667	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	
425.411	0.0000000	0.0000000	0.0000000	0.0000000	0.9266351	0.8980828	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	
428.082	0.0000000	0.0000000	0.0000000	0.0000000	0.9273641	0.8991561	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	
430.787	0.0000000	0.0000000	0.0000000	0.0000000	0.9292610	0.9005203	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	
433.526	0.0000000	0.0000000	0.0000000	0.0000000	0.9312224	0.9017728	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	
436.3	0.0000000	0.0000000	0.0000000	0.0000000	0.9321167	0.9032027	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	
439.11	0.0000000	0.0000000	0.0000000	0.0000000	0.9332895	0.9040615	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	
441.956	0.0000000	0.0000000	0.0000000	0.0000000	0.9352824	0.9054310	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	
444.84	0.0000000	0.0000000	0.0000000	0.0000000	0.9366002	0.9063862	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	
447.761	0.0000000	0.0000000	0.0000000	0.0000000	0.9373230	0.9070402	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	
450.721	0.0000000	0.0000000	0.0000000	0.0000000	0.9383590	0.9076992	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	
453.721	0.0000000	0.0000000	0.0000000	0.0000000	0.9396582	0.9087861	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	
456.76	0.0000000	0.0000000	0.0000000	0.0000000	0.9406050	0.9095818	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	
459.841	0.0000000	0.0000000	0.0000000	0.0000000	0.9416801	0.9103548	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	
462.963	0.0000000	0.0000000	0.0000000	0.0000000	0.9431500	0.9111709	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	
466.128	0.0000000	0.0000000	0.0000000	0.0000000	0.9443065	0.9120747	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	
469.337	0.0000000	0.0000000	0.0000000	0.0000000	0.9455693	0.9130732	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	
472.59	0.0000000	0.0000000	0.0000000	0.0000000	0.9464845	0.9136560	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	
475.888	0.0000000	0.0000000	0.0000000	0.0000000	0.9473403	0.9139015	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	
479.233	0.0000000	0.0000000	0.0000000	0.0000000	0.9484431	0.9144717	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	
482.625	0.0000000	0.0000000	0.0000000	0.0000000	0.9487936	0.9145230	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	
486.066	0.0000000	0.0000000	0.0000000	0.0000000	0.9492000	0.9145168	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	
489.556	0.0000000	0.0000000	0.0000000	0.0000000	0.9498682	0.9147471	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	
493.097	0.0000000	0.0000000	0.0000000	0.0000000	0.9500894	0.9144055	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	
496.689	0.0000000	0.0000000	0.0000000	0.0000000	0.9500940	0.9138236	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	
500.334	0.0000000	0.0000000	0.0000000	0.0000000	0.9502102	0.9134874	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	
504.032	0.0000000	0.0000000	0.0000000	0.0000000	0.9508537	0.9132404	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	
507.786	0.0000000	0.0000000	0.0000000	0.0000000	0.9510981	0.9129796	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	
511.596	0.0000000	0.0000000	0.0000000	0.0000000	0.9518983	0.9128051	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	
515.464	0.0000000	0.0000000	0.0000000	0.0000000	0.9527387	0.9129811	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	
519.391	0.0000000	0.0000000	0.0000000	0.0000000	0.9540386	0.9134396	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	
523.378	0.0000000	0.0000000	0.0000000	0.0000000	0.9545681	0.9129284	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	
527.426	0.0000000	0.0000000	0.0000000	0.0000000	0.9548767	0.9123494	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	
531.538	0.0000000	0.0000000	0.0000000	0.0000000	0.9550496	0.9117296	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	
535.714	0.0000000	0.0000000	0.0000000	0.0000000	0.9555455	0.9110758	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	
539.957	0.0000000	0.0000000	0.0000000	0.0000000	0.9556623	0.9100616	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	
544.267	0.0000000	0.0000000	0.0000000	0.0000000	0.9561407	0.9093718	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	
548.647	0.0000000	0.0000000	0.0000000	0.0000000	0.9563463	0.9085558	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	
553.097	0.0000000	0.0000000	0.0000000	0.0000000	0.9570749	0.9077807	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	
557.621	0.0000000	0.0000000	0.0000000	0.0000000	0.9574608	0.9069934	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	
562.219	0.0000000	0.0000000	0.0000000	0.0000000	0.9577649	0.9060569	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	
566.893	0.0000000	0.0000000	0.0000000	0.0000000	0.9581257	0.9049889	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	
571.646	0.0000000	0.0000000	0.0000000	0.0000000	0.9585492	0.9040758	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	
576.48	0.0000000	0.0000000	0.0000000	0.0000000	0.9591097	0.9032370	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	
581.395	0.0000000	0.0000000	0.0000000	0.0000000	0.9591720	0.9018985	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	
586.396	0.0000000	0.0000000	0.0000000	0.0000000	0.9592823	0.9005809	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	
591.483	0.0000000	0.0000000	0.0000000	0.0000000	0.9592814	0.8989330	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	
596.659	0.0000000	0.0000000	0.0000000	0.0000000	0.9590599	0.8970838	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	
601.926	0.0000000	0.0000000	0.0000000	0.0000000	0.9592068	0.8952170	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	
607.287	0.0000000	0.0000000	0.0000000	0.0000000	0.9596490	0.8938906	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	
612.745	0.0000000	0.0000000	0.0000000	0.0000000	0.9602988	0.8925315	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	
618.302	0.0000000	0.0000000	0.0000000	0.0000000	0.9606791	0.8907636	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	
623.96	0.0000000	0.0000000	0.0000000	0.0000000	0.9610151	0.8887336	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	
629.723	0.0000000	0.0000000	0.0000000	0.0000000	0.9609628	0.8863691	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	
635.593	0.0000000	0.0000000	0.0000000	0.0000000	0.9619252	0.8845094	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	
