Tn	Tp	Rn	Rp	R1	APDS	wl(A)	n1	n2	n3	n4	n5	n6	n7	n8	n_ibri
0.0011095	0.0000000	0.2114917	0.0000000	0.0000000	0.8814053	3000.0000000	1.5588579	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	
0.0019145	0.0000000	0.2053754	0.0000000	0.0000000	0.8798996	3013.2583367	1.5582125	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	
0.0031449	0.0000000	0.1985246	0.0000000	0.0000000	0.8779480	3026.6343826	1.5575763	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	
0.0050500	0.0000000	0.1915764	0.0000000	0.0000000	0.8757385	3040.1297122	1.5569493	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	
0.0078189	0.0000000	0.1842927	0.0000000	0.0000000	0.8740533	3053.7459283	1.5563313	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	
0.0117232	0.0000000	0.1769109	0.0000000	0.0000000	0.8723000	3067.4846626	1.5557216	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	
0.0172420	0.0000000	0.1688136	0.0000000	0.0000000	0.8709557	3081.3475760	1.5551208	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	
0.0247378	0.0000000	0.1607377	0.0000000	0.0000000	0.8697705	3095.3363599	1.5545282	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	
0.0345962	0.0000000	0.1521652	0.0000000	0.0000000	0.8674049	3109.4527363	1.5539439	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	
0.0474804	0.0000000	0.1436308	0.0000000	0.0000000	0.8647208	3123.6984590	1.5533675	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	
0.0632324	0.0000000	0.1357186	0.0000000	0.0000000	0.8639001	3138.0753138	1.5527989	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	
0.0826180	0.0000000	0.1277611	0.0000000	0.0000000	0.8616263	3152.5851198	1.5522381	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	
0.1052276	0.0000000	0.1203691	0.0000000	0.0000000	0.8600010	3167.2297297	1.5516846	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	
0.1325819	0.0000000	0.1154546	0.0000000	0.0000000	0.8584021	3182.0110310	1.5511388	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	
