eTn	eTp	eRn	eRp	eR1	eAPDS	eLETT	k1	k2	k3	k4	k5	k6	k7	k8	k_ibri
0.0005327	1.0000000	0.0020530	1.0000000	1.0000000	1.0000000	0.0005303	0.0001150	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	0.0000000	
0.0005338	1.0000000	0.0020083	1.0000000	1.0000000	1.0000000	0.0005296	0.0001051	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	0.0000000	
0.0005359	1.0000000	0.0019583	1.0000000	1.0000000	1.0000000	0.0005290	0.0000960	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	0.0000000	
0.0005394	1.0000000	0.0019077	1.0000000	1.0000000	1.0000000	0.0005283	0.0000873	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	0.0000000	
0.0005449	1.0000000	0.0018546	1.0000000	1.0000000	1.0000000	0.0005277	0.0000794	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	0.0000000	
0.0005529	1.0000000	0.0018008	1.0000000	1.0000000	1.0000000	0.0005271	0.0000720	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	0.0000000	
0.0005644	1.0000000	0.0017419	1.0000000	1.0000000	1.0000000	0.0005265	0.0000652	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	0.0000000	
0.0005803	1.0000000	0.0016832	1.0000000	1.0000000	1.0000000	0.0005259	0.0000588	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	0.0000000	
0.0006014	1.0000000	0.0016209	1.0000000	1.0000000	1.0000000	0.0005253	0.0000529	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	0.0000000	
0.0006292	1.0000000	0.0015589	1.0000000	1.0000000	1.0000000	0.0005248	0.0000475	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	0.0000000	
0.0006633	1.0000000	0.0015014	1.0000000	1.0000000	1.0000000	0.0005242	0.0000426	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	0.0000000	
0.0007054	1.0000000	0.0014436	1.0000000	1.0000000	1.0000000	0.0005237	0.0000381	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	0.0000000	
0.0007547	1.0000000	0.0013898	1.0000000	1.0000000	1.0000000	0.0005232	0.0000341	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	0.0000000	
0.0008143	1.0000000	0.0013539	1.0000000	1.0000000	1.0000000	0.0005227	0.0000302	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	0.0000000	
